speciesCode,comName,sciName,locId,locName,obsDt,howMany,lat,lng,obsValid,obsReviewed,locationPrivate,subId
grefla3,Greater Flamingo,Phoenicopterus roseus,L3879826,Marjal dels Moros,2020-10-13 09:41,12,39.6209621,-0.2569342,TRUE,FALSE,FALSE,S74769515
grefla3,Greater Flamingo,Phoenicopterus roseus,L5724588,Salinas de Santa Pola PNat--Els Xiprerets,2020-10-13 09:34,34,38.198883,-0.576256,TRUE,FALSE,FALSE,S74767278
grefla3,Greater Flamingo,Phoenicopterus roseus,L6877658,Hoya del Pozo,2020-10-13 09:00,NA,38.838259,-1.4561391,TRUE,FALSE,FALSE,S74775263
grefla3,Greater Flamingo,Phoenicopterus roseus,L5171766,Marina del Carmolí,2020-10-13 08:55,3,37.7016827,-0.854702,TRUE,FALSE,FALSE,S74767123
grefla3,Greater Flamingo,Phoenicopterus roseus,L11345934,Lo Vaquero,2020-10-13 08:54,55,38.196257,-0.773772,TRUE,FALSE,FALSE,S74766699
grefla3,Greater Flamingo,Phoenicopterus roseus,L4843879,Salinas de Santa Pola PNat--Salinas de Bon Matí,2020-10-13 08:44,131,38.1701601,-0.6264782,TRUE,FALSE,FALSE,S74766796
grefla3,Greater Flamingo,Phoenicopterus roseus,L2360554,Laguna de Gallocanta--Área general,2020-10-13 08:34,29,40.9702383,-1.5044403,TRUE,TRUE,FALSE,S74771268
grefla3,Greater Flamingo,Phoenicopterus roseus,L6362852,El Hondo PNat--Observatorio El Saladar,2020-10-12 17:56,30,38.1859259,-0.7860377,TRUE,FALSE,FALSE,S74821592
grefla3,Greater Flamingo,Phoenicopterus roseus,L11361267,El Hondo PNat--La Raja,2020-10-12 17:47,4,38.1750228,-0.767374,TRUE,FALSE,FALSE,S74738634
grefla3,Greater Flamingo,Phoenicopterus roseus,L10249318,"Riet Vell - 9 Partida Eucaliptus, Amposta, Catalunya, ES (40,661, 0,776)",2020-10-12 17:15,1,40.661117,0.7755074,TRUE,FALSE,TRUE,S74738143
grefla3,Greater Flamingo,Phoenicopterus roseus,L4389108,Embalse de Campos del Paraíso,2020-10-12 17:12,24,39.9786986,-2.7355313,TRUE,FALSE,FALSE,S74738383
grefla3,Greater Flamingo,Phoenicopterus roseus,L12017545,El Hondo PNat --Torre El Rincón,2020-10-12 17:06,596,38.1821284,-0.7759174,TRUE,FALSE,FALSE,S74737121
grefla3,Greater Flamingo,Phoenicopterus roseus,L5074654,El Hondo PNat--El Rincón/Observatorio CAM,2020-10-12 16:45,46,38.1850934,-0.784526,TRUE,FALSE,FALSE,S74735136
grefla3,Greater Flamingo,Phoenicopterus roseus,L1122006,Doñana PNat--Salinas de Bonanza,2020-10-12 16:37,470,36.8367255,-6.3432097,TRUE,FALSE,FALSE,S74747821
grefla3,Greater Flamingo,Phoenicopterus roseus,L12482208,"Unnamed Road, Sant Jaume d'Enveja, Catalunya, ES (40,695, 0,804)",2020-10-12 16:11,NA,40.6952658,0.8044798,TRUE,FALSE,TRUE,S74733590
grefla3,Greater Flamingo,Phoenicopterus roseus,L5139167,Embalse de Los Canchales--Colas oeste,2020-10-12 15:58,2,38.97623,-6.538295,TRUE,FALSE,FALSE,S74737918
grefla3,Greater Flamingo,Phoenicopterus roseus,L2068919,Doñana PNat--Laguna del Tarelo,2020-10-12 15:24,12,36.8470536,-6.32025,TRUE,FALSE,FALSE,S74732787
grefla3,Greater Flamingo,Phoenicopterus roseus,L5925467,Clot De Galvany,2020-10-12 14:39,4,38.243249,-0.5298627,TRUE,FALSE,TRUE,S74798486
grefla3,Greater Flamingo,Phoenicopterus roseus,L4152925,Lagunas de Corral-Rubio,2020-10-12 14:23,NA,38.8370869,-1.4580059,TRUE,FALSE,FALSE,S74730396
