"id","lat","lon","place","name","country"
154670993,46.2148362,14.3366721,"village","Srednje Bitnje","slovenia"
154671671,46.2071742,14.3332389,"village","Spodnje Bitnje","slovenia"
154674021,46.195293,14.3238833,"village","Dorfarje","slovenia"
155071409,46.6515066,16.3443719,"village","Dobrovnik","slovenia"
156398442,46.5869392,16.1060693,"village","Bučečovci","slovenia"
156399778,46.6276507,16.2470014,"village","Gančani","slovenia"
156400501,46.6255631,16.2282262,"village","Lipovci","slovenia"
160235617,46.5760851,15.8312836,"town","Lenart","slovenia"
175672470,46.3031435,13.4820073,"village","Žaga","slovenia"
175672568,46.2916428,13.4985997,"village","Srpenica","slovenia"
175730569,46.2464811,13.5788321,"village","Kobarid","slovenia"
175751400,46.2800444,13.5526699,"village","Trnovo ob Soči","slovenia"
178197001,46.31963,13.5487269,"village","Čezsoča","slovenia"
201303867,46.4053275,13.6031935,"village","Log pod Mangartom","slovenia"
201699237,46.2752821,14.5266819,"village","Ambrož pod Krvavcem","slovenia"
201718260,46.2848485,14.532975,"hamlet","Planina Jezerca","slovenia"
201718265,46.2940108,14.53561,"hamlet","Kriška planina","slovenia"
202755905,46.228536,14.4857047,"village","Spodnji Brnik","slovenia"
202966937,46.2897513,15.0515866,"village","Preserje","slovenia"
203397917,46.5622048,16.4536925,"town","Lendava/Lendva","slovenia"
206172647,46.2773905,13.8869253,"village","Jezero","slovenia"
206174434,46.3235105,13.9200278,"locality","Planina Praprotnica","slovenia"
206174677,46.3131153,13.934224,"locality","Planina Zajamniki","slovenia"
206174720,46.3194842,13.9479105,"locality","Planina Konjska Dolina","slovenia"
206174724,46.3114549,13.9451622,"locality","Planina na Pečeh","slovenia"
206174731,46.3285145,13.9591481,"locality","Planina Jelje","slovenia"
206182467,46.2265194,15.7002159,"town","Rogatec","slovenia"
206182471,46.2346699,15.6379692,"town","Rogaška Slatina","slovenia"
208592566,45.8133113,14.4808369,"country","Slovenija","slovenia"
208843100,46.2794201,13.8288274,"hamlet","Ukanc","slovenia"
208843106,46.2766292,13.8888239,"village","Ribčev Laz","slovenia"
208843112,46.2879339,13.8936598,"village","Stara Fužina","slovenia"
208843117,46.2677202,13.9027282,"hamlet","Laški Rovt","slovenia"
208843122,46.2680435,13.9117216,"village","Polje","slovenia"
